page_no,title,price,condition,photo_link
1,MACBOOK PRO 15 LAPTOP | INTEL CORE 2.5GHz | 500GB | WARRANTY MAC,$458.50,Pre-Owned,https://i.ebayimg.com/thumbs/images/g/oNkAAOSw2sBgEwZr/s-l225.jpg
1,"Apple MacBook 13"" Laptop UPGRADED 8GB+1TB HD ** MAC OS X High Sierra ** ",$194.95 to $294.95,Refurbished,https://i.ebayimg.com/thumbs/images/g/Q7MAAOSwILpf~1kC/s-l225.jpg
1,APPLE MACBOOK PRO 15 INCH MAC LAPTOP / QUAD CORE I7 / 1TB SSD / 16GB / OS2020,$689.00,Refurbished,https://i.ebayimg.com/thumbs/images/g/jkYAAOSwpk9f9OAa/s-l225.jpg
1,"APPLE MACBOOK PRO 15"" MAC LAPTOP / QUAD CORE I7 / 1TB SSD / 16GB / OS2018",$649.00,Refurbished,https://i.ebayimg.com/thumbs/images/g/EuQAAOSwtllf9N~-/s-l225.jpg
1,Apple Macbook Pro 13 Laptop / 16GB RAM 1TB SSD / Mac OS / 3 YEAR WARRANTY,$635.00,Pre-Owned,https://i.ebayimg.com/thumbs/images/g/r~IAAOSwloxf80dw/s-l225.jpg
1,Apple Macbook Pro 15 inch Laptop | 250GB SSD | UPGRADED | MAC OS2017 | WARRANTY ,$435.00,Pre-Owned,https://i.ebayimg.com/thumbs/images/g/kPcAAOSwgVxf-Ny7/s-l225.jpg
1,"Apple MacBook 13"" Laptop - UPDATED 2017 MAC OS +plus ANY UPGRADE CHOICE !",$137.00 to $335.00,Refurbished,https://i.ebayimg.com/thumbs/images/g/K88AAOSw0FRfrrpp/s-l225.jpg
1,"New ListingApple MacBook Pro 13"" Laptop | Used | 500 GB | Mac OS | WARRANTY!",$399.00,Pre-Owned,https://i.ebayimg.com/thumbs/images/g/JWkAAOSwRodf6QYm/s-l225.jpg
1,"Apple Macbook 13"" Laptop | UPGRADED 8GB RAM 1TB HD | MAC OS 2019 | WARRANTY",$249.00 to $359.00,Refurbished,https://i.ebayimg.com/thumbs/images/g/GCsAAOSwiBhgAIfd/s-l225.jpg
1,"Apple Macbook 13"" Laptop / UPGRADED 8GB RAM 1TB HDD / MAC OS 2017 + WARRANTY",$269.10 to $359.10,Pre-Owned,https://i.ebayimg.com/thumbs/images/g/sFoAAOSwZmJcnpjo/s-l225.jpg
1,"Apple MacBook 13"" Laptop | UPGRADED 8GB RAM+1TB HD | MAC OS 2017. WARRANTY",$244.00 to $344.00,Refurbished,https://i.ebayimg.com/thumbs/images/g/ZpYAAOSwo1Ze7qSF/s-l225.jpg
1,"New Listing13"" Apple MacBook Air Laptop | TURBO BOOST i5 | SSD | Mac OS | 3 YEAR WARRANTY",$479.00,Pre-Owned,https://i.ebayimg.com/thumbs/images/g/pJIAAOSwVFNgAc~9/s-l225.jpg
1,Apple Macbook Pro 15 inch Laptop | i5 8GB 250GB SSD | MAC OS2017 | 2 YR Warranty,$419.99,Pre-Owned,https://i.ebayimg.com/thumbs/images/g/YSYAAOSwv8NgAOZZ/s-l225.jpg
1,"Apple Macbook Pro 13"" MD101LL/A i5-3210m 2.5GHz 4GB RAM 500GB HD Mac OS 10.11",$239.00,Refurbished,https://i.ebayimg.com/thumbs/images/g/T4UAAOSwKptgEt7S/s-l225.jpg
1,MACBOOK PRO 15 LAPTOP / INTEL CORE 2.5GHz / 500GB / OS2015 / WARRANTY MAC,$479.00,Pre-Owned,https://i.ebayimg.com/thumbs/images/g/xdsAAOSwFE1gFEaY/s-l225.jpg
1,"Apple Macbook 13"" Pre-Retina / UPGRADED 8GB RAM 1TB HDD / MAC OS 2017 / WARRANTY",$269.99 to $359.99,Pre-Owned,https://i.ebayimg.com/thumbs/images/g/WjsAAOSwvMhc0eMk/s-l225.jpg
1,"Apple Macbook 13"" Laptop /UPGRADED 8GB RAM 1TB HD /MAC OS CATALINA/WARRANTY #777",$349.00,Refurbished,https://i.ebayimg.com/thumbs/images/g/hMMAAOSwGFVefTUZ/s-l225.jpg
1,"APPLE MACBOOK PRO 15"" RETINA MAC LAPTOP * QUAD CORE I7 * 1TB SSD * 16GB * OSx",$979.00,Pre-Owned,https://i.ebayimg.com/thumbs/images/g/QHAAAOSwD4xgBYlF/s-l225.jpg
1,"Apple MacBook White 13"" MC516LL/A 250GB HDD Intel 2.40GHz 4GB LATEST MAC OS 2017",$299.97,Refurbished,https://i.ebayimg.com/thumbs/images/g/q~sAAOSw3WxZ28Pk/s-l225.jpg
1,"Macbook Pro 15"" Core 2 Duo 2.2 GHz (2007) 4 GB Ram 120 GB HDD Mac OS X",$56.00,Pre-Owned,https://i.ebayimg.com/thumbs/images/g/e7YAAOSwPlFgEMfE/s-l225.jpg
1,"APPLE MACBOOK PRO 15"" MAC LAPTOP / QUAD CORE I7 / 1TB SSD / 16GB / OS2020",$649.00,Refurbished,https://i.ebayimg.com/thumbs/images/g/ilIAAOSwxp1f9OBE/s-l225.jpg
1,APPLE MACBOOK AIR 13 INCH LAPTOP - 1 YEAR WARRANTY - SSD - OS2015,$329.00,Pre-Owned,https://i.ebayimg.com/thumbs/images/g/0a0AAOSw8GRgCIm3/s-l225.jpg
1,New Listing1993 Apple Macintosh PowerBook 165c WORKING Incl. Power Cable Bundle,$49.95,Pre-Owned,https://i.ebayimg.com/thumbs/images/g/j8kAAOSwxeNgFypw/s-l225.jpg
1,"Apple Macbook 13"" Laptop / UPGRADED 8GB RAM 1TB HD / MAC-OS 2017 / WARRANTY",$269.10 to $359.10,Refurbished,https://i.ebayimg.com/thumbs/images/g/ts4AAOSwgG5bsuEQ/s-l225.jpg
1,"MACBOOK PRO 15"" MAC LAPTOP | 500GB | OS2019 | APPLE LAPTOP | CORE i5 | SILVER",$479.00,Pre-Owned,https://i.ebayimg.com/thumbs/images/g/wJcAAOSwFRpf2TUk/s-l225.jpg
1,"Apple MacBook Pro13""New 256GB SSD.Intel i5 /New 16GB RAM Mac OS High Sierra 2017",$499.97,Refurbished,https://i.ebayimg.com/thumbs/images/g/lLMAAOSwNqJbZIo3/s-l225.jpg
1,Excellent Condition 16inch Mac Book Pro,"$1,699.00",Pre-Owned,https://i.ebayimg.com/thumbs/images/g/fFoAAOSw70FgE3Mb/s-l225.jpg
1,"New ListingApple MacBook Pro 12,1 Intel i5-5257U @2.70GHz 8GB RAM 256GB Mac OS El Capitan",$399.98,Pre-Owned,https://i.ebayimg.com/thumbs/images/g/bh0AAOSw9j5gEr-3/s-l225.jpg
1,"Apple MacBook Pro13"" 500GB HDD/ Intel i5 /New 16 GB RAM. Mac OS Mojave",$399.95,Refurbished,https://i.ebayimg.com/thumbs/images/g/OYoAAOSwO29f~xDf/s-l225.jpg
1,Apple MacBook Air A1369 13.3 Laptop MC503LL/A 2010 Mac OS X Lion READ,$189.99,Pre-Owned,https://i.ebayimg.com/thumbs/images/g/ep8AAOSwDyZf-0xM/s-l225.jpg
1,"Apple MacBook 13.3"" Laptop - MA700LL/A (November, 2006) Mac OS Lion  160 GB HD ",$70.00,Refurbished,https://i.ebayimg.com/thumbs/images/g/e80AAOSwK7RgAga-/s-l225.jpg
1,"APPLE MACINTOSH POWERBOOK G4 15"" **READ** ",$99.99,Pre-Owned,https://i.ebayimg.com/thumbs/images/g/7ggAAOSw7ZlgEZTw/s-l225.jpg
1,"Apple MacBook 13"" Laptop | UPGRADED 8GB RAM+1TB HD | MAC OS HIGH SIERRA 2017",$275.00 to $375.00,Refurbished,https://i.ebayimg.com/thumbs/images/g/V88AAOSw3iRe7WDB/s-l225.jpg
1,"New ListingWorking Apple iBook G4 Laptop A1133 1 GB Ram, Mac OS 10.5",$79.00,Refurbished,https://i.ebayimg.com/thumbs/images/g/qRAAAOSw2x5fxCD1/s-l225.jpg
1,"Apple Mac Mini 2014 MGEM2LL/A i5-4260U 1.4GHz, 4GB RAM, 500GB HDD PC655362",$212.00,Pre-Owned,https://i.ebayimg.com/thumbs/images/g/aD8AAOSwLW5gC0p-/s-l225.jpg
1,"Apple MacBook Air 13.3"" Laptop i5 1.8GHz 8GB 128GB Mac OS (MQD32LL/A)",$555.39,Pre-Owned,https://i.ebayimg.com/thumbs/images/g/J9cAAOSw6qdf3U-c/s-l225.jpg
1,Macbook 1TB RAM 4GB Mac Mojave + Linux + Windows10 Pro,$348.00,Refurbished,https://i.ebayimg.com/thumbs/images/g/mOUAAOSwb~xd7vgP/s-l225.jpg
1,2020 Mac OS Catalina - READ ENTIRE DESCRIPTION - Upgraded to current model year ,"$1,063.00",Refurbished,https://i.ebayimg.com/thumbs/images/g/1YMAAOSwyN5f5OrH/s-l225.jpg
1,"Apple MacBook 13"" Laptop - UPDATED 2017 MAC OS + UPGRADE to SSD or MORE RAM ?",$137.00 to $335.00,Refurbished,https://i.ebayimg.com/thumbs/images/g/K88AAOSw0FRfrrpp/s-l225.jpg
1,"Apple MacBook 13"" Laptop UPGRADED 8GB+500GB HD MAC OS 2017",$339.00,Pre-Owned,https://i.ebayimg.com/thumbs/images/g/y0IAAOSwevReznwT/s-l225.jpg
1,Apple Mac book 13 in. 2008 model,$110.00,Pre-Owned,https://i.ebayimg.com/thumbs/images/g/d0kAAOSwsQxgBeDO/s-l225.jpg
1,Apple MacBook Pro 15 inch Touch Bar Core i7 16GB 512GB SSD Mac OSx2020 Big Sur,"$1,339.00",Refurbished,https://i.ebayimg.com/thumbs/images/g/ANsAAOSwgQNf-BTT/s-l225.jpg
1,"APPLE MACBOOK PRO 15"" RETINA MAC LAPTOP | QUAD CORE I7 | 1TB SSD | 16GB | OS2020",$999.00,Refurbished,https://i.ebayimg.com/thumbs/images/g/eQYAAOSwdLpf4h4h/s-l225.jpg
1,mac mini late 2014 big sur 8gig 1600 ddr3 ram 1tb sata hd,$320.00,Pre-Owned,https://i.ebayimg.com/thumbs/images/g/AdwAAOSw~FZf~pt1/s-l225.jpg
1,"APPLE MACBOOK PRO 15"" MAC LAPTOP PRE-RETINA / CORE I5 / 500GB / OS2020",$579.00,Refurbished,https://i.ebayimg.com/thumbs/images/g/7MoAAOSwf-dfMxOt/s-l225.jpg
1,"Apple 12"" PowerBook G4 Aluminum (Mac OS 10.4 and iLife '06 install discs)",$76.00,Pre-Owned,https://i.ebayimg.com/thumbs/images/g/jTMAAOSwzkVgEeL5/s-l225.jpg
1,Apple MacBook Air 13 Inch Laptop 256GB SSD 8GB RAM Core i7 2.20GHz Mac OS 2020,$549.00,Refurbished,https://i.ebayimg.com/thumbs/images/g/qscAAOSwK05f~Bb0/s-l225.jpg
1,A1398 MacBook Mac Pro 512GB SSD15 Inch Retina Laptop 2.0 i7 8GB Ram  Refurbished,$550.00,Refurbished,https://i.ebayimg.com/thumbs/images/g/qdMAAOSwOtNgCkDf/s-l225.jpg
1,"Apple Mac book Pro 13"" Intel Core 2 Duo 2.4GHz 4GB RAM 250GB Mid 2010 ",$170.00,Pre-Owned,https://i.ebayimg.com/thumbs/images/g/7bAAAOSwP9tgBdyx/s-l225.jpg
1,Mac Mini MC270LL/A Mid-2010 8GB Core 2 Duo 2.4GHz 320GB+WARRANTY!,$199.99,Pre-Owned,https://i.ebayimg.com/thumbs/images/g/T1UAAOSw6ZZf8pkX/s-l225.jpg
1,Apple Mac Mini Mid 2011 Intel Core i7 2.7GHz 8GB 750GB HDD,$275.00,Pre-Owned,https://i.ebayimg.com/thumbs/images/g/230AAOSwUKRfTQoJ/s-l225.jpg
1,"Apple Macbook Air 13"" 256GB SSD Great Condition Mac OS Big Sur",$395.00,Pre-Owned,https://i.ebayimg.com/thumbs/images/g/vXwAAOSw0jJfzVLi/s-l225.jpg
1,"Apple Macbook Pro 15"" Laptop i7 / UPGRADED 16GB RAM + 2TB SSD / MAC OS 2018",$845.00,Pre-Owned,https://i.ebayimg.com/thumbs/images/g/WS4AAOSwk0xfxdel/s-l225.jpg
1,"MacBook Pro, 13-inch, Mid-2010, Silver",$195.00,Pre-Owned,https://i.ebayimg.com/thumbs/images/g/MA4AAOSwB~Bfa7Oi/s-l225.jpg
